Model,MAE,MAE_std,RMSE,RMSE_std,R²,R²_std
Lasso,0.3093,0.0378,0.5105,0.0846,0.7017,0.1167
ElasticNet,0.3115,0.0361,0.5118,0.0831,0.7003,0.116
CatBoost,0.3257,0.0313,0.5272,0.0813,0.6856,0.112
RandomForest,0.3285,0.0231,0.5215,0.0659,0.6847,0.1215
Ridge,0.3164,0.0349,0.5239,0.0775,0.6846,0.1171
ExtraTrees,0.33,0.0305,0.5233,0.0767,0.6825,0.1306
GradientBoosting,0.3466,0.0315,0.5421,0.0833,0.6601,0.1372
XGBoost,0.3497,0.0231,0.5445,0.0688,0.6587,0.133
LightGBM,0.3758,0.0364,0.5833,0.0809,0.6237,0.108
SVR-RBF,0.4301,0.0462,0.6568,0.0885,0.5319,0.0992
KNN,0.4644,0.0482,0.6711,0.0796,0.5011,0.133
