Feature,R2_Solo,RMSE_Solo,Gini_Importance,Entropy_Importance
prev_prev_gpa,0.6339,0.5872,1.0,1.0
midterm_norm,0.1227,0.9282,1.0,1.0
backlogs_log,0.1158,0.9335,1.0,1.0
backlogs,0.1158,0.9335,1.0,1.0
academic_score,0.0652,0.959,1.0,1.0
tenth_pct,0.0566,0.9619,1.0,1.0
twelfth_pct,0.0529,0.9654,1.0,1.0
attendance,0.0419,0.9745,1.0,1.0
attend_stress,0.038,0.9754,1.0,1.0
assign_norm,0.0324,0.9734,1.0,1.0
teacher_fb,0.0308,0.9767,1.0,1.0
school_avg,0.0057,0.9944,1.0,1.0
stress,0.0012,0.9908,1.0,1.0
intro_grade,-0.002,0.9932,1.0,1.0
has_prev_gpa,-0.007,0.995,0.0,0.0
participation,-0.008,0.9943,1.0,1.0
complexity,-0.011,0.9967,1.0,1.0
hw_grade,-0.0161,0.9999,1.0,1.0
distance,-0.0481,1.013,1.0,1.0
study_hours,-0.0493,1.0142,1.0,1.0
