Model,MAE,MAE_std,RMSE,RMSE_std,R²,R²_std
Lasso,0.309,0.0381,0.5091,0.0841,0.704,0.1144
ElasticNet,0.3111,0.0365,0.5102,0.0828,0.7028,0.1136
CatBoost,0.325,0.0332,0.5253,0.0816,0.6896,0.1072
Ridge,0.3159,0.0353,0.5217,0.0775,0.6881,0.1146
RandomForest,0.3283,0.0226,0.5199,0.0648,0.688,0.1173
ExtraTrees,0.3301,0.031,0.5218,0.0762,0.6855,0.1272
GradientBoosting,0.3461,0.0288,0.5348,0.0697,0.67,0.1302
XGBoost,0.3486,0.0224,0.5467,0.068,0.6561,0.133
LightGBM,0.3716,0.04,0.5778,0.0814,0.6329,0.0985
SVR-RBF,0.4252,0.0437,0.6529,0.0877,0.537,0.0995
KNN,0.46,0.0535,0.6675,0.0881,0.5091,0.1288
