content_density,contrast,edge_density,line_regularity,hw_grade,row_idx
0.1888,42.2,0.175,1.0,8,0
0.3088,57.0,0.0708,1.0,9,1
0.2382,38.2,0.0304,0.9,6,2
0.1639,50.0,0.0665,1.0,8,3
0.2537,56.6,0.0639,1.0,9,4
0.0698,36.5,0.1449,1.0,6,5
0.5026,55.3,0.0877,1.0,9,6
0.1552,29.8,0.1355,1.0,8,7
0.0,0.0,0.0,0.0,1,8
0.083,24.6,0.0632,1.0,6,9
0.0947,22.9,0.0326,1.0,5,10
0.0,0.0,0.0,0.0,1,11
0.5401,88.8,0.0537,1.0,9,12
0.269,29.1,0.0806,1.0,8,13
0.2671,41.3,0.2089,1.0,10,14
0.0968,26.6,0.0378,1.0,5,15
0.3008,58.8,0.0852,1.0,9,16
0.3652,29.8,0.1415,1.0,8,17
0.0815,54.7,0.1544,1.0,8,18
0.2124,57.2,0.1643,1.0,8,19
0.1045,35.4,0.0595,0.9,6,20
0.211,46.2,0.035,1.0,6,21
0.245,67.4,0.1061,1.0,8,22
0.1405,39.7,0.0563,1.0,6,23
0.2311,65.4,0.3116,1.0,9,24
0.1604,49.9,0.1738,1.0,8,25
0.1162,42.9,0.1066,0.9,6,26
0.0311,34.9,0.0493,0.7,4,27
0.0626,44.1,0.1314,0.9,6,28
0.0479,35.6,0.0481,1.0,4,29
0.0649,41.8,0.0916,1.0,6,30
0.3909,63.3,0.0938,1.0,9,31
0.1121,32.6,0.0429,1.0,5,32
0.1925,37.9,0.1399,1.0,8,33
0.0,0.0,0.0,0.0,1,34
0.323,69.5,0.0888,1.0,9,35
0.4166,27.6,0.129,1.0,8,36
0.203,43.4,0.0404,1.0,6,37
0.2048,68.4,0.0947,1.0,8,38
0.2049,63.5,0.1446,1.0,8,39
0.1194,30.9,0.2336,1.0,7,40
0.2908,34.3,0.0682,1.0,8,41
0.1027,49.6,0.2197,1.0,8,42
0.242,49.7,0.1349,1.0,8,43
0.0624,22.9,0.0388,1.0,4,44
0.3846,30.3,0.0614,1.0,8,45
0.257,28.8,0.0782,1.0,8,46
0.1004,32.2,0.0388,1.0,5,47
0.148,33.9,0.0855,1.0,6,48
0.098,28.2,0.1042,1.0,6,49
0.326,39.4,0.0591,1.0,8,50
0.1121,36.2,0.0664,1.0,6,51
0.1526,43.3,0.2275,1.0,8,52
0.4232,23.1,0.1395,1.0,8,53
0.0939,35.2,0.055,1.0,6,54
0.1199,26.0,0.1533,1.0,6,55
0.0916,35.1,0.0667,1.0,6,56
0.1431,82.8,0.1719,1.0,8,57
0.1888,42.2,0.175,1.0,8,58
0.3026,72.2,0.1405,1.0,10,59
0.4414,64.0,0.1074,1.0,9,60
0.0515,24.9,0.0453,1.0,4,61
0.1136,33.4,0.0884,1.0,6,62
0.3728,78.3,0.0659,1.0,9,63
0.1888,42.2,0.175,1.0,8,64
0.2488,45.6,0.1645,1.0,8,65
0.4305,42.8,0.2494,1.0,10,66
0.3348,51.2,0.1613,1.0,10,67
0.1899,42.9,0.0495,1.0,6,68
0.3022,44.6,0.0209,1.0,8,69
0.101,40.8,0.0641,1.0,6,70
0.232,57.1,0.2065,1.0,9,71
0.1956,41.6,0.1559,1.0,8,72
0.3987,55.4,0.0308,1.0,8,73
0.2093,42.2,0.06,1.0,8,74
